1968 Household Travel Survey,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
"HOME TO WORK AND WORK TO HOME TRIPS, ALL DAY",,,,,,PROPORTIONS,,,,,CUMULATIVE,,,,,,EQUATION,,,,,EQUATION: BALANCED,,,
52.5,5048,5479,6462,34,=B15+C15,=B15/B$24,=C15/C$24,=D15/D$24,=E15/E$24,=F15/F$24,=G15+L14,=H15+M14,=I15+N14,=J15+O14,,,=EXP(2.32-0.0006*$A15*$A15)/100,=EXP(2.31-0.0005*$A15*$A15)/100,=EXP(0.051+0.094*$A15-0.0015*$A15*$A15)/100,=EXP(3.18-0.08*$A15)/100,,=R15/R$24,=S15/S$24,=T15/T$24,=U15/U$24
57.5,50901,28862,46655,473,=B16+C16,=B16/B$24,=C16/C$24,=D16/D$24,=E16/E$24,=F16/F$24,=G16+L15,=H16+M15,=I16+N15,=J16+O15,,,=EXP(2.32-0.0006*$A16*$A16)/100,=EXP(2.31-0.0005*$A16*$A16)/100,=EXP(0.051+0.094*$A16-0.0015*$A16*$A16)/100,=EXP(3.18-0.08*$A16)/100,,=R16/R$24,=S16/S$24,=T16/T$24,=U16/U$24
62.5,2808,3129,3670,85,=B17+C17,=B17/B$24,=C17/C$24,=D17/D$24,=E17/E$24,=F17/F$24,=G17+L16,=H17+M16,=I17+N16,=J17+O16,,,=EXP(2.32-0.0006*$A17*$A17)/100,=EXP(2.31-0.0005*$A17*$A17)/100,=EXP(0.051+0.094*$A17-0.0015*$A17*$A17)/100,=EXP(3.18-0.08*$A17)/100,,=R17/R$24,=S17/S$24,=T17/T$24,=U17/U$24
67.5,3897,2935,6044,28,=B18+C18,=B18/B$24,=C18/C$24,=D18/D$24,=E18/E$24,=F18/F$24,=G18+L17,=H18+M17,=I18+N17,=J18+O17,,,=EXP(2.32-0.0006*$A18*$A18)/100,=EXP(2.31-0.0005*$A18*$A18)/100,=EXP(0.051+0.094*$A18-0.0015*$A18*$A18)/100,=EXP(3.18-0.08*$A18)/100,,=R18/R$24,=S18/S$24,=T18/T$24,=U18/U$24
72.5,7512,6167,12775,0,=B19+C19,=B19/B$24,=C19/C$24,=D19/D$24,=E19/E$24,=F19/F$24,=G19+L18,=H19+M18,=I19+N18,=J19+O18,,,=EXP(2.32-0.0006*$A19*$A19)/100,=EXP(2.31-0.0005*$A19*$A19)/100,=EXP(0.051+0.094*$A19-0.0015*$A19*$A19)/100,=EXP(3.18-0.08*$A19)/100,,=R19/R$24,=S19/S$24,=T19/T$24,=U19/U$24
77.5,1428,1550,2972,0,=B20+C20,=B20/B$24,=C20/C$24,=D20/D$24,=E20/E$24,=F20/F$24,=G20+L19,=H20+M19,=I20+N19,=J20+O19,,,=EXP(2.32-0.0006*$A20*$A20)/100,=EXP(2.31-0.0005*$A20*$A20)/100,=EXP(0.051+0.094*$A20-0.0015*$A20*$A20)/100,=EXP(3.18-0.08*$A20)/100,,=R20/R$24,=S20/S$24,=T20/T$24,=U20/U$24
82.5,1032,757,1680,0,=B21+C21,=B21/B$24,=C21/C$24,=D21/D$24,=E21/E$24,=F21/F$24,=G21+L20,=H21+M20,=I21+N20,=J21+O20,,,=EXP(2.32-0.0006*$A21*$A21)/100,=EXP(2.31-0.0005*$A21*$A21)/100,=EXP(0.051+0.094*$A21-0.0015*$A21*$A21)/100,=EXP(3.18-0.08*$A21)/100,,=R21/R$24,=S21/S$24,=T21/T$24,=U21/U$24
87.5,4054,3181,10438,0,=B22+C22,=B22/B$24,=C22/C$24,=D22/D$24,=E22/E$24,=F22/F$24,=G22+L21,=H22+M21,=I22+N21,=J22+O21,,,=EXP(2.32-0.0006*$A22*$A22)/100,=EXP(2.31-0.0005*$A22*$A22)/100,=EXP(0.051+0.094*$A22-0.0015*$A22*$A22)/100,=EXP(3.18-0.08*$A22)/100,,=R22/R$24,=S22/S$24,=T22/T$24,=U22/U$24
92.5,264,475,810,0,=B23+C23,=B23/B$24,=C23/C$24,=D23/D$24,=E23/E$24,=F23/F$24,=G23+L22,=H23+M22,=I23+N22,=J23+O22,,,=EXP(2.32-0.0006*$A23*$A23)/100,=EXP(2.31-0.0005*$A23*$A23)/100,=EXP(0.051+0.094*$A23-0.0015*$A23*$A23)/100,=EXP(3.18-0.08*$A23)/100,,=R23/R$24,=S23/S$24,=T23/T$24,=U23/U$24
,=SUM(B5:B23),=SUM(C5:C23),=SUM(D5:D23),=SUM(E5:E23),=SUM(F5:F23),=SUM(G5:G23),=SUM(H5:H23),=SUM(I5:I23),=SUM(J5:J23),=SUM(K5:K23),,,,,,,=SUM(R5:R23),=SUM(S5:S23),=SUM(T5:T23),=SUM(U5:U23),,,,,
