TRAVEL 2 Multimodal Spatial Trip Distribution Model,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
components of impedance matrix,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MODEL COEFFICIENTS and (t-statistics),,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TABLE 1:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"HOME TO WORK, WORK TO HOME PURPOSES",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"ALL DAY, METROPOLITAN WASHINGTON REGION",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MODE:,,ADT,APT,WCT,AU1,AU2,AU3+,WALK,,,,,,,,,,,,,,,,,,,,,
VARIABLE:,|,-,-,-,-,-,-,-,,,,,,,,,,,,,,,,,,,,,
TIME,|,0.0495,-0.107,-0.077,-0.078,-0.074,-0.058,-0.141,,,,,,,,,,,,,,,,,,,,,
,|,(2.3),(-3.8),(-7.9),(-17.2),(-16.4),(-10.6),(-11.6),,,,,,,,,,,,,,,,,,,,,
,|,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TIME^0.5,|,-,0.642,0.265,-,-,-,-,,,,,,,,,,,,,,,,,,,,,
,|,-,(2.1),(2.3),-,-,-,-,,,,,,,,,,,,,,,,,,,,,
,|,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TIME^2.0,|,-0.00106,-,-,-,-,-,-,,,,,,,,,,,,,,,,,,,,,
,|,(-4.6),-,-,-,-,-,-,,,,,,,,,,,,,,,,,,,,,
,|,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CONSTANT,|,-2.92,-2.9,-1.91,-0.967,-1.03,-1.31,-0.58,,,,,,,,,,,,,,,,,,,,,
,|,,,,,,,,,,,,,,,,,,,,,,,,,,,,
r-squared,|,0.87,0.88,0.98,0.94,0.94,0.87,0.94,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TABLE 2:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"HOME TO OTHER, OTHER TO HOME, OTHER TO OTHER PURPOSES",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"ALL DAY, METROPOLITAN WASHINGTON REGION",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MODE:,,AU1,AU2+,WCT,WALK,,,,,,,,,,,,,,,,,,,,,,,,
VARIABLE:,|,-,-,-,-,,,,,,,,,,,,,,,,,,,,,,,,
TIME,|,-0.156,-0.16,-0.065,-0.185,,,,,,,,,,,,,,,,,,,,,,,,
,|,(-6.7),(-8.4),(-15.3),(-11.1),,,,,,,,,,,,,,,,,,,,,,,,
,|,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TIME^2.0,|,0.000663,0.000758,-,-,,,,,,,,,,,,,,,,,,,,,,,,
,|,(2.7),(3.7),-,-,,,,,,,,,,,,,,,,,,,,,,,,
,|,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CONSTANT,|,-0.39,-0.36,-1.32,-0.186,,,,,,,,,,,,,,,,,,,,,,,,
,|,,,,,,,,,,,,,,,,,,,,,,,,,,,,
r-squared,|,0.95,0.96,0.93,0.95,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
estimated: April 1992 by MCPD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
from: MWCOG 1987-88 Household Travel Survey,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TABLE 3:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MODES:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ADT,Auto Drive to Transit (Park and Ride),,,,,,,,,,,,,,,,,,,,,,,,,,,,
APT,Auto Passenger to Transit (Kiss and Ride),,,,,,,,,,,,,,,,,,,,,,,,,,,,
WCT,Walk Connect Transit ,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AU1,Auto 1 (Drive Alone),,,,,,,,,,,,,,,,,,,,,,,,,,,,
AU2,Auto 2 (Driver with 1 Passenger),,,,,,,,,,,,,,,,,,,,,,,,,,,,
AU2+,Auto 2+ (Driver with 1 or more Passengers),,,,,,,,,,,,,,,,,,,,,,,,,,,,
AU3+,Auto 3+ (Driver with 2 or more Passengers),,,,,,,,,,,,,,,,,,,,,,,,,,,,
WALK,Walk,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
