,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WORK TRIPS,,,,,,,,,,,WORK TRIPS,,,,,,,,,,,WORK TRIPS,,,,,,,
,,ADT,APT,WCT,AU1,AU2,AU3+,WALK,,,,ADT,APT,WCT,AU1,AU2,AU3+,WALK,,,,,ADT,APT,WCT,AU1,AU2,AU3+,WALK
TIME,,-,-,-,-,-,-,-,,OPPORTUNITIES,TIME,-,-,-,-,-,-,-,,,OPPORTUNITIES,TIME,-,-,-,-,-,-,-
0,|,=EXP(C$11*$A72+C$14*SQRT($A72)+C$17*$A72*$A72+C$20),=EXP(D$11*$A72+D$14*SQRT($A72)+D$17*$A72*$A72+D$20),=EXP(E$11*$A72+E$14*SQRT($A72)+E$17*$A72*$A72+E$20),=EXP(F$11*$A72+F$14*SQRT($A72)+F$17*$A72*$A72+F$20),=EXP(G$11*$A72+G$14*SQRT($A72)+G$17*$A72*$A72+G$20),=EXP(H$11*$A72+H$14*SQRT($A72)+H$17*$A72*$A72+H$20),=EXP(I$11*$A72+I$14*SQRT($A72)+I$17*$A72*$A72+I$20),,1,=A72,=(C72/C$92)*($K72),=(D72/D$92)*$K72,=(E72/E$92)*$K72,=(F72/F$92)*$K72,=(G72/G$92)*$K72,=(H72/H$92)*$K72,=(I72/I$92)*$K72,,,1,=L72,=(M72/M$92),=(N72/N$92),=(O72/O$92),=(P72/P$92),=(Q72/Q$92),=(R72/R$92),=(S72/S$92)
5,|,=EXP(C$11*$A73+C$14*SQRT($A73)+C$17*$A73*$A73+C$20),=EXP(D$11*$A73+D$14*SQRT($A73)+D$17*$A73*$A73+D$20),=EXP(E$11*$A73+E$14*SQRT($A73)+E$17*$A73*$A73+E$20),=EXP(F$11*$A73+F$14*SQRT($A73)+F$17*$A73*$A73+F$20),=EXP(G$11*$A73+G$14*SQRT($A73)+G$17*$A73*$A73+G$20),=EXP(H$11*$A73+H$14*SQRT($A73)+H$17*$A73*$A73+H$20),=EXP(I$11*$A73+I$14*SQRT($A73)+I$17*$A73*$A73+I$20),,3,=A73,=(C73/C$92)*($K73),=(D73/D$92)*$K73,=(E73/E$92)*$K73,=(F73/F$92)*$K73,=(G73/G$92)*$K73,=(H73/H$92)*$K73,=(I73/I$92)*$K73,,,3,=L73,=(M73/M$92),=(N73/N$92),=(O73/O$92),=(P73/P$92),=(Q73/Q$92),=(R73/R$92),=(S73/S$92)
10,|,=EXP(C$11*$A74+C$14*SQRT($A74)+C$17*$A74*$A74+C$20),=EXP(D$11*$A74+D$14*SQRT($A74)+D$17*$A74*$A74+D$20),=EXP(E$11*$A74+E$14*SQRT($A74)+E$17*$A74*$A74+E$20),=EXP(F$11*$A74+F$14*SQRT($A74)+F$17*$A74*$A74+F$20),=EXP(G$11*$A74+G$14*SQRT($A74)+G$17*$A74*$A74+G$20),=EXP(H$11*$A74+H$14*SQRT($A74)+H$17*$A74*$A74+H$20),=EXP(I$11*$A74+I$14*SQRT($A74)+I$17*$A74*$A74+I$20),,5,=A74,=(C74/C$92)*($K74),=(D74/D$92)*$K74,=(E74/E$92)*$K74,=(F74/F$92)*$K74,=(G74/G$92)*$K74,=(H74/H$92)*$K74,=(I74/I$92)*$K74,,,5,=L74,=(M74/M$92),=(N74/N$92),=(O74/O$92),=(P74/P$92),=(Q74/Q$92),=(R74/R$92),=(S74/S$92)
15,|,=EXP(C$11*$A75+C$14*SQRT($A75)+C$17*$A75*$A75+C$20),=EXP(D$11*$A75+D$14*SQRT($A75)+D$17*$A75*$A75+D$20),=EXP(E$11*$A75+E$14*SQRT($A75)+E$17*$A75*$A75+E$20),=EXP(F$11*$A75+F$14*SQRT($A75)+F$17*$A75*$A75+F$20),=EXP(G$11*$A75+G$14*SQRT($A75)+G$17*$A75*$A75+G$20),=EXP(H$11*$A75+H$14*SQRT($A75)+H$17*$A75*$A75+H$20),=EXP(I$11*$A75+I$14*SQRT($A75)+I$17*$A75*$A75+I$20),,7,=A75,=(C75/C$92)*($K75),=(D75/D$92)*$K75,=(E75/E$92)*$K75,=(F75/F$92)*$K75,=(G75/G$92)*$K75,=(H75/H$92)*$K75,=(I75/I$92)*$K75,,,7,=L75,=(M75/M$92),=(N75/N$92),=(O75/O$92),=(P75/P$92),=(Q75/Q$92),=(R75/R$92),=(S75/S$92)
20,|,=EXP(C$11*$A76+C$14*SQRT($A76)+C$17*$A76*$A76+C$20),=EXP(D$11*$A76+D$14*SQRT($A76)+D$17*$A76*$A76+D$20),=EXP(E$11*$A76+E$14*SQRT($A76)+E$17*$A76*$A76+E$20),=EXP(F$11*$A76+F$14*SQRT($A76)+F$17*$A76*$A76+F$20),=EXP(G$11*$A76+G$14*SQRT($A76)+G$17*$A76*$A76+G$20),=EXP(H$11*$A76+H$14*SQRT($A76)+H$17*$A76*$A76+H$20),=EXP(I$11*$A76+I$14*SQRT($A76)+I$17*$A76*$A76+I$20),,9,=A76,=(C76/C$92)*($K76),=(D76/D$92)*$K76,=(E76/E$92)*$K76,=(F76/F$92)*$K76,=(G76/G$92)*$K76,=(H76/H$92)*$K76,=(I76/I$92)*$K76,,,9,=L76,=(M76/M$92),=(N76/N$92),=(O76/O$92),=(P76/P$92),=(Q76/Q$92),=(R76/R$92),=(S76/S$92)
25,|,=EXP(C$11*$A77+C$14*SQRT($A77)+C$17*$A77*$A77+C$20),=EXP(D$11*$A77+D$14*SQRT($A77)+D$17*$A77*$A77+D$20),=EXP(E$11*$A77+E$14*SQRT($A77)+E$17*$A77*$A77+E$20),=EXP(F$11*$A77+F$14*SQRT($A77)+F$17*$A77*$A77+F$20),=EXP(G$11*$A77+G$14*SQRT($A77)+G$17*$A77*$A77+G$20),=EXP(H$11*$A77+H$14*SQRT($A77)+H$17*$A77*$A77+H$20),=EXP(I$11*$A77+I$14*SQRT($A77)+I$17*$A77*$A77+I$20),,11,=A77,=(C77/C$92)*($K77),=(D77/D$92)*$K77,=(E77/E$92)*$K77,=(F77/F$92)*$K77,=(G77/G$92)*$K77,=(H77/H$92)*$K77,=(I77/I$92)*$K77,,,11,=L77,=(M77/M$92),=(N77/N$92),=(O77/O$92),=(P77/P$92),=(Q77/Q$92),=(R77/R$92),=(S77/S$92)
30,|,=EXP(C$11*$A78+C$14*SQRT($A78)+C$17*$A78*$A78+C$20),=EXP(D$11*$A78+D$14*SQRT($A78)+D$17*$A78*$A78+D$20),=EXP(E$11*$A78+E$14*SQRT($A78)+E$17*$A78*$A78+E$20),=EXP(F$11*$A78+F$14*SQRT($A78)+F$17*$A78*$A78+F$20),=EXP(G$11*$A78+G$14*SQRT($A78)+G$17*$A78*$A78+G$20),=EXP(H$11*$A78+H$14*SQRT($A78)+H$17*$A78*$A78+H$20),=EXP(I$11*$A78+I$14*SQRT($A78)+I$17*$A78*$A78+I$20),,13,=A78,=(C78/C$92)*($K78),=(D78/D$92)*$K78,=(E78/E$92)*$K78,=(F78/F$92)*$K78,=(G78/G$92)*$K78,=(H78/H$92)*$K78,=(I78/I$92)*$K78,,,13,=L78,=(M78/M$92),=(N78/N$92),=(O78/O$92),=(P78/P$92),=(Q78/Q$92),=(R78/R$92),=(S78/S$92)
35,|,=EXP(C$11*$A79+C$14*SQRT($A79)+C$17*$A79*$A79+C$20),=EXP(D$11*$A79+D$14*SQRT($A79)+D$17*$A79*$A79+D$20),=EXP(E$11*$A79+E$14*SQRT($A79)+E$17*$A79*$A79+E$20),=EXP(F$11*$A79+F$14*SQRT($A79)+F$17*$A79*$A79+F$20),=EXP(G$11*$A79+G$14*SQRT($A79)+G$17*$A79*$A79+G$20),=EXP(H$11*$A79+H$14*SQRT($A79)+H$17*$A79*$A79+H$20),=EXP(I$11*$A79+I$14*SQRT($A79)+I$17*$A79*$A79+I$20),,15,=A79,=(C79/C$92)*($K79),=(D79/D$92)*$K79,=(E79/E$92)*$K79,=(F79/F$92)*$K79,=(G79/G$92)*$K79,=(H79/H$92)*$K79,=(I79/I$92)*$K79,,,15,=L79,=(M79/M$92),=(N79/N$92),=(O79/O$92),=(P79/P$92),=(Q79/Q$92),=(R79/R$92),=(S79/S$92)
40,|,=EXP(C$11*$A80+C$14*SQRT($A80)+C$17*$A80*$A80+C$20),=EXP(D$11*$A80+D$14*SQRT($A80)+D$17*$A80*$A80+D$20),=EXP(E$11*$A80+E$14*SQRT($A80)+E$17*$A80*$A80+E$20),=EXP(F$11*$A80+F$14*SQRT($A80)+F$17*$A80*$A80+F$20),=EXP(G$11*$A80+G$14*SQRT($A80)+G$17*$A80*$A80+G$20),=EXP(H$11*$A80+H$14*SQRT($A80)+H$17*$A80*$A80+H$20),=EXP(I$11*$A80+I$14*SQRT($A80)+I$17*$A80*$A80+I$20),,17,=A80,=(C80/C$92)*($K80),=(D80/D$92)*$K80,=(E80/E$92)*$K80,=(F80/F$92)*$K80,=(G80/G$92)*$K80,=(H80/H$92)*$K80,=(I80/I$92)*$K80,,,17,=L80,=(M80/M$92),=(N80/N$92),=(O80/O$92),=(P80/P$92),=(Q80/Q$92),=(R80/R$92),=(S80/S$92)
45,|,=EXP(C$11*$A81+C$14*SQRT($A81)+C$17*$A81*$A81+C$20),=EXP(D$11*$A81+D$14*SQRT($A81)+D$17*$A81*$A81+D$20),=EXP(E$11*$A81+E$14*SQRT($A81)+E$17*$A81*$A81+E$20),=EXP(F$11*$A81+F$14*SQRT($A81)+F$17*$A81*$A81+F$20),=EXP(G$11*$A81+G$14*SQRT($A81)+G$17*$A81*$A81+G$20),=EXP(H$11*$A81+H$14*SQRT($A81)+H$17*$A81*$A81+H$20),=EXP(I$11*$A81+I$14*SQRT($A81)+I$17*$A81*$A81+I$20),,19,=A81,=(C81/C$92)*($K81),=(D81/D$92)*$K81,=(E81/E$92)*$K81,=(F81/F$92)*$K81,=(G81/G$92)*$K81,=(H81/H$92)*$K81,=(I81/I$92)*$K81,,,19,=L81,=(M81/M$92),=(N81/N$92),=(O81/O$92),=(P81/P$92),=(Q81/Q$92),=(R81/R$92),=(S81/S$92)
50,|,=EXP(C$11*$A82+C$14*SQRT($A82)+C$17*$A82*$A82+C$20),=EXP(D$11*$A82+D$14*SQRT($A82)+D$17*$A82*$A82+D$20),=EXP(E$11*$A82+E$14*SQRT($A82)+E$17*$A82*$A82+E$20),=EXP(F$11*$A82+F$14*SQRT($A82)+F$17*$A82*$A82+F$20),=EXP(G$11*$A82+G$14*SQRT($A82)+G$17*$A82*$A82+G$20),=EXP(H$11*$A82+H$14*SQRT($A82)+H$17*$A82*$A82+H$20),=EXP(I$11*$A82+I$14*SQRT($A82)+I$17*$A82*$A82+I$20),,21,=A82,=(C82/C$92)*($K82),=(D82/D$92)*$K82,=(E82/E$92)*$K82,=(F82/F$92)*$K82,=(G82/G$92)*$K82,=(H82/H$92)*$K82,=(I82/I$92)*$K82,,,21,=L82,=(M82/M$92),=(N82/N$92),=(O82/O$92),=(P82/P$92),=(Q82/Q$92),=(R82/R$92),=(S82/S$92)
55,|,=EXP(C$11*$A83+C$14*SQRT($A83)+C$17*$A83*$A83+C$20),=EXP(D$11*$A83+D$14*SQRT($A83)+D$17*$A83*$A83+D$20),=EXP(E$11*$A83+E$14*SQRT($A83)+E$17*$A83*$A83+E$20),=EXP(F$11*$A83+F$14*SQRT($A83)+F$17*$A83*$A83+F$20),=EXP(G$11*$A83+G$14*SQRT($A83)+G$17*$A83*$A83+G$20),=EXP(H$11*$A83+H$14*SQRT($A83)+H$17*$A83*$A83+H$20),=EXP(I$11*$A83+I$14*SQRT($A83)+I$17*$A83*$A83+I$20),,23,=A83,=(C83/C$92)*($K83),=(D83/D$92)*$K83,=(E83/E$92)*$K83,=(F83/F$92)*$K83,=(G83/G$92)*$K83,=(H83/H$92)*$K83,=(I83/I$92)*$K83,,,23,=L83,=(M83/M$92),=(N83/N$92),=(O83/O$92),=(P83/P$92),=(Q83/Q$92),=(R83/R$92),=(S83/S$92)
60,|,=EXP(C$11*$A84+C$14*SQRT($A84)+C$17*$A84*$A84+C$20),=EXP(D$11*$A84+D$14*SQRT($A84)+D$17*$A84*$A84+D$20),=EXP(E$11*$A84+E$14*SQRT($A84)+E$17*$A84*$A84+E$20),=EXP(F$11*$A84+F$14*SQRT($A84)+F$17*$A84*$A84+F$20),=EXP(G$11*$A84+G$14*SQRT($A84)+G$17*$A84*$A84+G$20),=EXP(H$11*$A84+H$14*SQRT($A84)+H$17*$A84*$A84+H$20),=EXP(I$11*$A84+I$14*SQRT($A84)+I$17*$A84*$A84+I$20),,25,=A84,=(C84/C$92)*($K84),=(D84/D$92)*$K84,=(E84/E$92)*$K84,=(F84/F$92)*$K84,=(G84/G$92)*$K84,=(H84/H$92)*$K84,=(I84/I$92)*$K84,,,25,=L84,=(M84/M$92),=(N84/N$92),=(O84/O$92),=(P84/P$92),=(Q84/Q$92),=(R84/R$92),=(S84/S$92)
65,|,=EXP(C$11*$A85+C$14*SQRT($A85)+C$17*$A85*$A85+C$20),=EXP(D$11*$A85+D$14*SQRT($A85)+D$17*$A85*$A85+D$20),=EXP(E$11*$A85+E$14*SQRT($A85)+E$17*$A85*$A85+E$20),=EXP(F$11*$A85+F$14*SQRT($A85)+F$17*$A85*$A85+F$20),=EXP(G$11*$A85+G$14*SQRT($A85)+G$17*$A85*$A85+G$20),=EXP(H$11*$A85+H$14*SQRT($A85)+H$17*$A85*$A85+H$20),=EXP(I$11*$A85+I$14*SQRT($A85)+I$17*$A85*$A85+I$20),,27,=A85,=(C85/C$92)*($K85),=(D85/D$92)*$K85,=(E85/E$92)*$K85,=(F85/F$92)*$K85,=(G85/G$92)*$K85,=(H85/H$92)*$K85,=(I85/I$92)*$K85,,,27,=L85,=(M85/M$92),=(N85/N$92),=(O85/O$92),=(P85/P$92),=(Q85/Q$92),=(R85/R$92),=(S85/S$92)
70,|,=EXP(C$11*$A86+C$14*SQRT($A86)+C$17*$A86*$A86+C$20),=EXP(D$11*$A86+D$14*SQRT($A86)+D$17*$A86*$A86+D$20),=EXP(E$11*$A86+E$14*SQRT($A86)+E$17*$A86*$A86+E$20),=EXP(F$11*$A86+F$14*SQRT($A86)+F$17*$A86*$A86+F$20),=EXP(G$11*$A86+G$14*SQRT($A86)+G$17*$A86*$A86+G$20),=EXP(H$11*$A86+H$14*SQRT($A86)+H$17*$A86*$A86+H$20),=EXP(I$11*$A86+I$14*SQRT($A86)+I$17*$A86*$A86+I$20),,29,=A86,=(C86/C$92)*($K86),=(D86/D$92)*$K86,=(E86/E$92)*$K86,=(F86/F$92)*$K86,=(G86/G$92)*$K86,=(H86/H$92)*$K86,=(I86/I$92)*$K86,,,29,=L86,=(M86/M$92),=(N86/N$92),=(O86/O$92),=(P86/P$92),=(Q86/Q$92),=(R86/R$92),=(S86/S$92)
75,|,=EXP(C$11*$A87+C$14*SQRT($A87)+C$17*$A87*$A87+C$20),=EXP(D$11*$A87+D$14*SQRT($A87)+D$17*$A87*$A87+D$20),=EXP(E$11*$A87+E$14*SQRT($A87)+E$17*$A87*$A87+E$20),=EXP(F$11*$A87+F$14*SQRT($A87)+F$17*$A87*$A87+F$20),=EXP(G$11*$A87+G$14*SQRT($A87)+G$17*$A87*$A87+G$20),=EXP(H$11*$A87+H$14*SQRT($A87)+H$17*$A87*$A87+H$20),=EXP(I$11*$A87+I$14*SQRT($A87)+I$17*$A87*$A87+I$20),,31,=A87,=(C87/C$92)*($K87),=(D87/D$92)*$K87,=(E87/E$92)*$K87,=(F87/F$92)*$K87,=(G87/G$92)*$K87,=(H87/H$92)*$K87,=(I87/I$92)*$K87,,,31,=L87,=(M87/M$92),=(N87/N$92),=(O87/O$92),=(P87/P$92),=(Q87/Q$92),=(R87/R$92),=(S87/S$92)
80,|,=EXP(C$11*$A88+C$14*SQRT($A88)+C$17*$A88*$A88+C$20),=EXP(D$11*$A88+D$14*SQRT($A88)+D$17*$A88*$A88+D$20),=EXP(E$11*$A88+E$14*SQRT($A88)+E$17*$A88*$A88+E$20),=EXP(F$11*$A88+F$14*SQRT($A88)+F$17*$A88*$A88+F$20),=EXP(G$11*$A88+G$14*SQRT($A88)+G$17*$A88*$A88+G$20),=EXP(H$11*$A88+H$14*SQRT($A88)+H$17*$A88*$A88+H$20),=EXP(I$11*$A88+I$14*SQRT($A88)+I$17*$A88*$A88+I$20),,33,=A88,=(C88/C$92)*($K88),=(D88/D$92)*$K88,=(E88/E$92)*$K88,=(F88/F$92)*$K88,=(G88/G$92)*$K88,=(H88/H$92)*$K88,=(I88/I$92)*$K88,,,33,=L88,=(M88/M$92),=(N88/N$92),=(O88/O$92),=(P88/P$92),=(Q88/Q$92),=(R88/R$92),=(S88/S$92)
85,|,=EXP(C$11*$A89+C$14*SQRT($A89)+C$17*$A89*$A89+C$20),=EXP(D$11*$A89+D$14*SQRT($A89)+D$17*$A89*$A89+D$20),=EXP(E$11*$A89+E$14*SQRT($A89)+E$17*$A89*$A89+E$20),=EXP(F$11*$A89+F$14*SQRT($A89)+F$17*$A89*$A89+F$20),=EXP(G$11*$A89+G$14*SQRT($A89)+G$17*$A89*$A89+G$20),=EXP(H$11*$A89+H$14*SQRT($A89)+H$17*$A89*$A89+H$20),=EXP(I$11*$A89+I$14*SQRT($A89)+I$17*$A89*$A89+I$20),,35,=A89,=(C89/C$92)*($K89),=(D89/D$92)*$K89,=(E89/E$92)*$K89,=(F89/F$92)*$K89,=(G89/G$92)*$K89,=(H89/H$92)*$K89,=(I89/I$92)*$K89,,,35,=L89,=(M89/M$92),=(N89/N$92),=(O89/O$92),=(P89/P$92),=(Q89/Q$92),=(R89/R$92),=(S89/S$92)
90,|,=EXP(C$11*$A90+C$14*SQRT($A90)+C$17*$A90*$A90+C$20),=EXP(D$11*$A90+D$14*SQRT($A90)+D$17*$A90*$A90+D$20),=EXP(E$11*$A90+E$14*SQRT($A90)+E$17*$A90*$A90+E$20),=EXP(F$11*$A90+F$14*SQRT($A90)+F$17*$A90*$A90+F$20),=EXP(G$11*$A90+G$14*SQRT($A90)+G$17*$A90*$A90+G$20),=EXP(H$11*$A90+H$14*SQRT($A90)+H$17*$A90*$A90+H$20),=EXP(I$11*$A90+I$14*SQRT($A90)+I$17*$A90*$A90+I$20),,37,=A90,=(C90/C$92)*($K90),=(D90/D$92)*$K90,=(E90/E$92)*$K90,=(F90/F$92)*$K90,=(G90/G$92)*$K90,=(H90/H$92)*$K90,=(I90/I$92)*$K90,,,37,=L90,=(M90/M$92),=(N90/N$92),=(O90/O$92),=(P90/P$92),=(Q90/Q$92),=(R90/R$92),=(S90/S$92)
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SUM,,=SUM(C72:C90),=SUM(D72:D90),=SUM(E72:E90),=SUM(F72:F90),=SUM(G72:G90),=SUM(H72:H90),=SUM(I72:I90),,=SUM(K72:K90),,=SUM(M72:M90),=SUM(N72:N90),=SUM(O72:O90),=SUM(P72:P90),=SUM(Q72:Q90),=SUM(R72:R90),=SUM(S72:S90),,,=SUM(V72:V90),,=SUM(X72:X90),=SUM(Y72:Y90),=SUM(Z72:Z90),=SUM(AA72:AA90),=SUM(AB72:AB90),=SUM(AC72:AC90),=SUM(AD72:AD90)
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NONWORK TRIPS,,,,,,,,,,,NONWORK TRIPS,,,,,,,,,,,NONWORK TRIPS,,,,,,,
MODE:,,AU1,AU2+,WCT,WALK,,,,,,,AU1,AU2+,WCT,WALK,,,,,,,,AU1,AU2+,WCT,WALK,,,
TIME,,-,-,-,-,,,,,OPPORTUNITIES,TIME,-,-,-,-,,,,,,OPPORTUNITIES,TIME,-,-,-,-,,,
0,|,=EXP(C$33*$A97+C$36*$A97*$A97+C$39),=EXP(D$33*$A97+D$36*$A97*$A97+D$39),=EXP(E$33*$A97+E$36*$A97*$A97+E$39),=EXP(F$33*$A97+F$36*$A97*$A97+F$39),,,,,1,=A97,=(C97/C$117)*($K97),=(D97/D$117)*($K97),=(E97/E$117)*($K97),=(F97/F$117)*($K97),,,,,,1,=L97,=(M97/M$117),=(N97/N$117),=(O97/O$117),=(P97/P$117),,,
5,|,=EXP(C$33*$A98+C$36*$A98*$A98+C$39),=EXP(D$33*$A98+D$36*$A98*$A98+D$39),=EXP(E$33*$A98+E$36*$A98*$A98+E$39),=EXP(F$33*$A98+F$36*$A98*$A98+F$39),,,,,3,=A98,=(C98/C$117)*($K98),=(D98/D$117)*($K98),=(E98/E$117)*($K98),=(F98/F$117)*($K98),,,,,,3,=L98,=(M98/M$117),=(N98/N$117),=(O98/O$117),=(P98/P$117),,,
10,|,=EXP(C$33*$A99+C$36*$A99*$A99+C$39),=EXP(D$33*$A99+D$36*$A99*$A99+D$39),=EXP(E$33*$A99+E$36*$A99*$A99+E$39),=EXP(F$33*$A99+F$36*$A99*$A99+F$39),,,,,5,=A99,=(C99/C$117)*($K99),=(D99/D$117)*($K99),=(E99/E$117)*($K99),=(F99/F$117)*($K99),,,,,,5,=L99,=(M99/M$117),=(N99/N$117),=(O99/O$117),=(P99/P$117),,,
15,|,=EXP(C$33*$A100+C$36*$A100*$A100+C$39),=EXP(D$33*$A100+D$36*$A100*$A100+D$39),=EXP(E$33*$A100+E$36*$A100*$A100+E$39),=EXP(F$33*$A100+F$36*$A100*$A100+F$39),,,,,7,=A100,=(C100/C$117)*($K100),=(D100/D$117)*($K100),=(E100/E$117)*($K100),=(F100/F$117)*($K100),,,,,,7,=L100,=(M100/M$117),=(N100/N$117),=(O100/O$117),=(P100/P$117),,,
20,|,=EXP(C$33*$A101+C$36*$A101*$A101+C$39),=EXP(D$33*$A101+D$36*$A101*$A101+D$39),=EXP(E$33*$A101+E$36*$A101*$A101+E$39),=EXP(F$33*$A101+F$36*$A101*$A101+F$39),,,,,9,=A101,=(C101/C$117)*($K101),=(D101/D$117)*($K101),=(E101/E$117)*($K101),=(F101/F$117)*($K101),,,,,,9,=L101,=(M101/M$117),=(N101/N$117),=(O101/O$117),=(P101/P$117),,,
