TRAVEL/2 Multimodal Spatial Trip Distribution Model,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TABLE 1:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Multimodal Spatial Trip Distribution Impedance Function (Work Trips),,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MODES:,,Auto Drive,Auto Pass.,Walk to,,,,,,,,,,,,,,,,,,,,,,,,,
,,to Transit,to Transit,Transit,Auto-1,Auto-2,Auto-3+,Walk,,,,,,,,,,,,,,,,,,,,,
VARIABLE:,|,-,-,-,-,-,-,-,,,,,,,,,,,,,,,,,,,,,
TIME,|,0.0495,-0.107,-0.077,-0.078,-0.074,-0.058,-0.141,,,,,,,,,,,,,,,,,,,,,
,|,(2.3),(-3.8),(-7.9),(-17.2),(-16.4),(-10.6),(-11.6),,,,,,,,,,,,,,,,,,,,,
,|,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TIME^0.5,|,-,0.642,0.265,-,-,-,-,,,,,,,,,,,,,,,,,,,,,
,|,-,(2.1),(2.3),-,-,-,-,,,,,,,,,,,,,,,,,,,,,
,|,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TIME^2.0,|,-0.00106,-,-,-,-,-,-,,,,,,,,,,,,,,,,,,,,,
,|,(-4.6),-,-,-,-,-,-,,,,,,,,,,,,,,,,,,,,,
,|,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CONSTANT,|,-2.92,-2.9,-1.91,-0.967,-1.03,-1.31,-0.58,,,,,,,,,,,,,,,,,,,,,
,|,,,,,,,,,,,,,,,,,,,,,,,,,,,,
r-squared,|,0.87,0.88,0.98,0.94,0.94,0.87,0.94,,,,,,,,,,,,,,,,,,,,,
