,ADT,APT,AU1,AUDR2,AUDR3,AUPX,BCRAIL,BUS,WALK,WCRAIL,AU2+,ALLWCT,ALLTRN,ALLTRIPS,,FACTOR,ADT,APT,AU1,AUDR2,AUDR3,AUPX,BCRAIL,BUS,WALK,WCRAIL,AU2+,ALLWCT,ALLTRN,ALLTRIPS,NONAUTO,AUTO,,,,ADT,APT,AU1,AUDR2,AUDR3,AUPX,BCRAIL,BUS,WALK,WCRAIL,AU2+,ALLWCT,ALLTRN,ALLTRIPS,NONAUTO,AUTO,,ADT,APT,AU1,AUDR2,AUDR3,AUPX,BCRAIL,BUS,WALK,WCRAIL,AU2+,ALLWCT,ALLTRN,ALLTRIPS,,TIME,P,ln(p),TIME^2,TIME,TIME^0.5,PREDICTED,ADJ PRED,Degrees of Freedom,,,15,,,,5,10,57638.08,0.0707,122037.5,0.1497,,,0.10676637,,Constant,,,0.0039642923,,,,10,15,113154.9,0.1228,300897.4,0.3266,,10,15,8788.825,0.0545,20891.97,0.1296,=DF6/$DF$23,=DI6/SUM($DG$4:$DG$20)
82.5,756,,2573,693,437,942,1411,2413,,2056,=E23+F23+G23,=K23+I23+H23,=M23+B23+C23,=SUM(B23:L23),,33,=B23,=C23,=D23,=E23,=F23,=G23,=H23,=I23,=J23,=K23,=L23,=M23,=N23,=O23,=AD23+Z23,=AE23-AF23,,,=A23,=R23/R$27,=S23/S$27,=T23/T$27,=U23/U$27,=V23/V$27,=W23/W$27,=X23/X$27,=Y23/Y$27,=Z23/Z$27,=AA23/AA$27,=AB23/AB$27,=AC23/AC$27,=AD23/AD$27,=AE23/AE$27,=AF23/AF$27,=AG23/AG$27,,=AK23+BB22,=AL23+BC22,=AM23+BD22,=AN23+BE22,=AO23+BF22,=AP23+BG22,=AQ23+BH22,=AR23+BI22,=AS23+BJ22,=AT23+BK22,=AU23+BL22,=AV23+BM22,=AW23+BN22,=AX23+BO22,,82.5,=AX23,=LN(BR23),=BU23*BU23,=BQ23,=SQRT(BQ23),=EXP(+$CB$2+$CA$8*BU23+$CB$8*BV23),=(BW23/$BW$26),,,,,,,,90,95,1065.175,0.0013,813934.5,0.9986,,,,,Degrees of Freedom,,,16,,,,95,100,0,0,921368.3,1,,,,=SUM(DF1:DF22),,,,,
87.5,76,,13183,1763,1875,3487,0,721,,2205,=E24+F24+G24,=K24+I24+H24,=M24+B24+C24,=SUM(B24:L24),,35,=B24,=C24,=D24,=E24,=F24,=G24,=H24,=I24,=J24,=K24,=L24,=M24,=N24,=O24,=AD24+Z24,=AE24-AF24,,,=A24,=R24/R$27,=S24/S$27,=T24/T$27,=U24/U$27,=V24/V$27,=W24/W$27,=X24/X$27,=Y24/Y$27,=Z24/Z$27,=AA24/AA$27,=AB24/AB$27,=AC24/AC$27,=AD24/AD$27,=AE24/AE$27,=AF24/AF$27,=AG24/AG$27,,=AK24+BB23,=AL24+BC23,=AM24+BD23,=AN24+BE23,=AO24+BF23,=AP24+BG23,=AQ24+BH23,=AR24+BI23,=AS24+BJ23,=AT24+BK23,=AU24+BL23,=AV24+BM23,=AW24+BN23,=AX24+BO23,,87.5,=AX24,=LN(BR24),=BU24*BU24,=BQ24,=SQRT(BQ24),=EXP(+$CB$2+$CA$8*BU24+$CB$8*BV24),=(BW24/$BW$26),,,,,,,,95,100,742.0578,0.0009,814676.5,0.9995,,,,,,,,,,,,100,105,0,0,921368.3,1,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,X Coefficient(s),,0.91953814,,,,,105,110,0,0,921368.3,1,,95,100,1306.615,0.0081,152129.8,0.9439,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,=SUM(BR7:BR24),,,,,=SUM(BW7:BW24),=SUM(BX7:BX24),,,,,,,,,,,,,,,,,,Std Err of Coef.,,0.10808945,,,,,110,115,0,0,921368.3,1,,100,105,1009.68,0.0063,153139.5,0.9501,,
,=SUM(B7:B26),=SUM(C7:C26),=SUM(D7:D26),=SUM(E7:E26),=SUM(F7:F26),=SUM(G7:G26),=SUM(H7:H26),=SUM(I7:I26),=SUM(J7:J26),=SUM(K7:K26),=SUM(L7:L26),=SUM(M7:M26),=SUM(N7:N26),=SUM(O7:O26),,,=SUM(R7:R26),=SUM(S7:S26),=SUM(T7:T26),=SUM(U7:U26),=SUM(V7:V26),=SUM(W7:W26),=SUM(X7:X26),=SUM(Y7:Y26),=SUM(Z7:Z26),=SUM(AA7:AA26),=SUM(AB7:AB26),=SUM(AC7:AC26),=SUM(AD7:AD26),=SUM(AE7:AE26),=SUM(AF7:AF26),=SUM(AG7:AG26),,,,=SUM(AK7:AK26),=SUM(AL7:AL26),=SUM(AM7:AM26),=SUM(AN7:AN26),=SUM(AO7:AO26),=SUM(AP7:AP26),=SUM(AQ7:AQ26),=SUM(AR7:AR26),=SUM(AS7:AS26),=SUM(AT7:AT26),=SUM(AU7:AU26),=SUM(AV7:AV26),=SUM(AW7:AW26),=SUM(AX7:AX26),=SUM(AY7:AY26),=SUM(AZ7:AZ26),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,115,120,0,0,921368.3,1,,105,110,834.1803,0.0052,153973.7,0.9553,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,120,125,0,0,921368.3,1,,110,115,808.5168,0.005,154782.2,0.9603,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,125,130,0,0,921368.3,1,,115,120,695.2113,0.0043,155477.4,0.9646,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,130,135,0,0,921368.3,1,,120,125,583.8037,0.0036,156061.2,0.9682,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,135,140,0,0,921368.3,1,,125,130,548.5765,0.0034,156609.8,0.9716,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,140,145,0,0,921368.3,1,,130,135,457.3862,0.0028,157067.2,0.9745,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,145,150,0,0,921368.3,1,,135,140,486.8046,0.003,157554,0.9775,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,140,145,319.9586,0.002,157873.9,0.9795,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,145,150,378.9738,0.0024,158252.9,0.9818,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NON-WORK TRIPS - 1988: DISTRIBUTION in 5 minute intervals,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CUMULATIVES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,NWAU1,NWAU2,NWTRN,NWWALK,ALLTRIPS,,FACTOR,,,,,,,,,FACTOR,NWAU1,NWAU2,NWTRN,NWWALK,,,,,,,,,,,,,,,,NWAU1,NWAU2,NWTRN,NWWALK,ALLTRIPS,,,,,,,,,,,,,NWAU1,NWAU2,NWTRN,NWWALK,ALLTRIPS,,,,,,,,,,,TIME,P,ln(p),TIME^2,TIME,TIME^0.5,PREDICTED,,,,Regression Output:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2.5,96871,150936,4095,20583,=SUM(B54:E54),,1,,,,,,,,,1,=B54/$Q54,=C54/$Q54,=D54/$Q54,=E54/$Q54,=F54/$Q54,,,,,,,,,,,,,,0,=R54/R$74,=S54/S$74,=T54/T$74,=U54/U$74,=V54/V$74,,,,,,,,,,,,,=AK54,=AL54,=AM54,=AN54,=AO54,,,,,,,,,,,2.5,=AN54,=LN(BR54),=BU54*BU54,=BQ54,=SQRT(BQ54),=EXP(+$CC$54+$CB$60*BU54+$CC$60*BU54),=BW54/$BW$26,,Constant,,,-0.18606903,,,0,5,512678.8,0.2915,512678.8,0.2915,,,,,,,,,,,,,,,,,,,,,,,,,,
7.5,108387,165630,5229,14293,=SUM(B55:E55),,3,,,,,,,,,3,=B55/$Q55,=C55/$Q55,=D55/$Q55,=E55/$Q55,=F55/$Q55,,,,,,,,,,,,,,5,=R55/R$74,=S55/S$74,=T55/T$74,=U55/U$74,=V55/V$74,,,,,,,,,,,,,=AK55+BB54,=AL55+BC54,=AM55+BD54,=AN55+BE54,=AO55+BF54,,,,,,,,,,,7.5,=AN55,=LN(BR55),=BU55*BU55,=BQ55,=SQRT(BQ55),=EXP(+$CC$54+$CB$60*BU55+$CC$60*BU55),=BW55/$BW$26,,Std Err of Y Est,,,0.54003558,,,5,10,284162.8,0.1616,796841.6,0.4531,,,,,,,,,,,,,,,,,,,,,,,,,,
12.5,83450,150992,5184,14376,=SUM(B56:E56),,5,,,,,,,,,5,=B56/$Q56,=C56/$Q56,=D56/$Q56,=E56/$Q56,=F56/$Q56,,,,,,,,,,,,,,10,=R56/R$74,=S56/S$74,=T56/T$74,=U56/U$74,=V56/V$74,,,,,,,,,,,,,=AK56+BB55,=AL56+BC55,=AM56+BD55,=AN56+BE55,=AO56+BF55,,,,,,,,,,,12.5,=AN56,=LN(BR56),=BU56*BU56,=BQ56,=SQRT(BQ56),=EXP(+$CC$54+$CB$60*BU56+$CC$60*BU56),=BW56/$BW$26,,R Squared,,,0.95341634,,,10,15,283462,0.1612,1080304,0.6142,,,,,,,,,,,,,,,,,,,,,,,,,,
17.5,52618,85960,5002,5748,=SUM(B57:E57),,7,,,,,,,,,7,=B57/$Q57,=C57/$Q57,=D57/$Q57,=E57/$Q57,=F57/$Q57,,,,,,,,,,,,,,15,=R57/R$74,=S57/S$74,=T57/T$74,=U57/U$74,=V57/V$74,,,,,,,,,,,,,=AK57+BB56,=AL57+BC56,=AM57+BD56,=AN57+BE56,=AO57+BF56,,,,,,,,,,,17.5,=AN57,=LN(BR57),=BU57*BU57,=BQ57,=SQRT(BQ57),=EXP(+$CC$54+$CB$60*BU57+$CC$60*BU57),=BW57/$BW$26,,No. of Observations,,,8,,,15,20,221369.4,0.1259,1301673,0.7401,,,,,,,,,,,,,,,,,,,,,,,,,,
22.5,26426,40819,3484,1843,=SUM(B58:E58),,9,,,,,,,,,9,=B58/$Q58,=C58/$Q58,=D58/$Q58,=E58/$Q58,=F58/$Q58,,,,,,,,,,,,,,20,=R58/R$74,=S58/S$74,=T58/T$74,=U58/U$74,=V58/V$74,,,,,,,,,,,,,=AK58+BB57,=AL58+BC57,=AM58+BD57,=AN58+BE57,=AO58+BF57,,,,,,,,,,,22.5,=AN58,=LN(BR58),=BU58*BU58,=BQ58,=SQRT(BQ58),=EXP(+$CC$54+$CB$60*BU58+$CC$60*BU58),=BW58/$BW$26,,Degrees of Freedom,,,6,,,20,25,154843.3,0.088,1456516,0.8282,,,,,,,,,,,,,,,,,,,,,,,,,,
27.5,44422,64311,5190,4301,=SUM(B59:E59),,11,,,,,,,,,11,=B59/$Q59,=C59/$Q59,=D59/$Q59,=E59/$Q59,=F59/$Q59,,,,,,,,,,,,,,25,=R59/R$74,=S59/S$74,=T59/T$74,=U59/U$74,=V59/V$74,,,,,,,,,,,,,=AK59+BB58,=AL59+BC58,=AM59+BD58,=AN59+BE58,=AO59+BF58,,,,,,,,,,,27.5,=AN59,=LN(BR59),=BU59*BU59,=BQ59,=SQRT(BQ59),=EXP(+$CC$54+$CB$60*BU59+$CC$60*BU59),=BW59/$BW$26,,,,,,,,25,30,106902.9,0.0608,1563419,0.8889,,,,,,,,,,,,,,,,,,,,,,,,,,
32.5,12830,18204,2627,486,=SUM(B60:E60),,13,,,,,,,,,13,=B60/$Q60,=C60/$Q60,=D60/$Q60,=E60/$Q60,=F60/$Q60,,,,,,,,,,,,,,30,=R60/R$74,=S60/S$74,=T60/T$74,=U60/U$74,=V60/V$74,,,,,,,,,,,,,=AK60+BB59,=AL60+BC59,=AM60+BD59,=AN60+BE59,=AO60+BF59,,,,,,,,,,,32.5,=AN60,=LN(BR60),=BU60*BU60,=BQ60,=SQRT(BQ60),=EXP(+$CC$54+$CB$60*BU60+$CC$60*BU60),=BW60/$BW$26,,X Coefficient(s),,-0.18468339,0,,,30,35,70775,0.0402,1634194,0.9292,,,,,,,,,,,,,,,,,,,,,,,,,,
37.5,14351,19024,1712,435,=SUM(B61:E61),,15,,,,,,,,,15,=B61/$Q61,=C61/$Q61,=D61/$Q61,=E61/$Q61,=F61/$Q61,,,,,,,,,,,,,,35,=R61/R$74,=S61/S$74,=T61/T$74,=U61/U$74,=V61/V$74,,,,,,,,,,,,,=AK61+BB60,=AL61+BC60,=AM61+BD60,=AN61+BE60,=AO61+BF60,,,,,,,,,,,37.5,=AN61,=LN(BR61),=BU61*BU61,=BQ61,=SQRT(BQ61),=EXP(+$CC$54+$CB$60*BU61+$CC$60*BU61),=BW61/$BW$26,,Std Err of Coef.,,0.01666586,0.8225447,,,35,40,46684.19,0.0265,1680878,0.9557,,,,,,,,,,,,,,,,,,,,,,,,,,
42.5,13541,14415,3142,0,=SUM(B62:E62),,17,,,,,,,,,17,=B62/$Q62,=C62/$Q62,=D62/$Q62,=E62/$Q62,=F62/$Q62,,,,,,,,,,,,,,40,=R62/R$74,=S62/S$74,=T62/T$74,=U62/U$74,=V62/V$74,,,,,,,,,,,,,=AK62+BB61,=AL62+BC61,=AM62+BD61,=AN62+BE61,=AO62+BF61,,,,,,,,,,,42.5,=AN62,=LN(BR62),=BU62*BU62,=BQ62,=SQRT(BQ62),=EXP(+$CC$54+$CB$60*BU62+$CC$60*BU62),=BW62/$BW$26,,,,=CB60/CB61,=CC60/CC61,,,40,45,31096.81,0.0177,1711975,0.9734,,,,,,,,,,,,,,,,,,,,,,,,,,
47.5,6446,12544,1059,0,=SUM(B63:E63),,19,,,,,,,,,19,=B63/$Q63,=C63/$Q63,=D63/$Q63,=E63/$Q63,=F63/$Q63,,,,,,,,,,,,,,45,=R63/R$74,=S63/S$74,=T63/T$74,=U63/U$74,=V63/V$74,,,,,,,,,,,,,=AK63+BB62,=AL63+BC62,=AM63+BD62,=AN63+BE62,=AO63+BF62,,,,,,,,,,,47.5,=AN63,=LN(BR63),=BU63*BU63,=BQ63,=SQRT(BQ63),=EXP(+$CC$54+$CB$60*BU63+$CC$60*BU63),=BW63/$BW$26,,,,,,,,45,50,20653.28,0.0117,1732628,0.9852,,,,,,,,,,,,,,,,,,,,,,,,,,
52.5,2490,4968,2041,0,=SUM(B64:E64),,21,,,,,,,,,21,=B64/$Q64,=C64/$Q64,=D64/$Q64,=E64/$Q64,=F64/$Q64,,,,,,,,,,,,,,50,=R64/R$74,=S64/S$74,=T64/T$74,=U64/U$74,=V64/V$74,,,,,,,,,,,,,=AK64+BB63,=AL64+BC63,=AM64+BD63,=AN64+BE63,=AO64+BF63,,,,,,,,,,,52.5,=AN64,=LN(BR64),=BU64*BU64,=BQ64,=SQRT(BQ64),=EXP(+$CC$54+$CB$60*BU64+$CC$60*BU64),=BW64/$BW$26,,,,,,,,50,55,13968,0.0079,1746596,0.9931,,,,,,,,,,,,,,,,,,,,,,,,,,
57.5,7285,10978,3080,0,=SUM(B65:E65),,23,,,,,,,,,23,=B65/$Q65,=C65/$Q65,=D65/$Q65,=E65/$Q65,=F65/$Q65,,,,,,,,,,,,,,55,=R65/R$74,=S65/S$74,=T65/T$74,=U65/U$74,=V65/V$74,,,,,,,,,,,,,=AK65+BB64,=AL65+BC64,=AM65+BD64,=AN65+BE64,=AO65+BF64,,,,,,,,,,,57.5,=AN65,=LN(BR65),=BU65*BU65,=BQ65,=SQRT(BQ65),=EXP(+$CC$54+$CB$60*BU65+$CC$60*BU65),=BW65/$BW$26,,,,,,,,55,60,9069.253,0.0052,1755666,0.9983,,,,,,,,,,,,,,,,,,,,,,,,,,
62.5,2108,1882,776,0,=SUM(B66:E66),,25,,,,,,,,,25,=B66/$Q66,=C66/$Q66,=D66/$Q66,=E66/$Q66,=F66/$Q66,,,,,,,,,,,,,,60,=R66/R$74,=S66/S$74,=T66/T$74,=U66/U$74,=V66/V$74,,,,,,,,,,,,,=AK66+BB65,=AL66+BC65,=AM66+BD65,=AN66+BE65,=AO66+BF65,,,,,,,,,,,62.5,=AN66,=LN(BR66),=BU66*BU66,=BQ66,=SQRT(BQ66),=EXP(+$CC$54+$CB$60*BU66+$CC$60*BU66),=BW66/$BW$26,,,,,,,,60,65,1993.559,0.0011,1757659,0.9994,,,,,,,,,,,,,,,,,,,,,,,,,,
67.5,906,3359,1555,0,=SUM(B67:E67),,27,,,,,,,,,27,=B67/$Q67,=C67/$Q67,=D67/$Q67,=E67/$Q67,=F67/$Q67,,,,,,,,,,,,,,65,=R67/R$74,=S67/S$74,=T67/T$74,=U67/U$74,=V67/V$74,,,,,,,,,,,,,=AK67+BB66,=AL67+BC66,=AM67+BD66,=AN67+BE66,=AO67+BF66,,,,,,,,,,,67.5,=AN67,=LN(BR67),=BU67*BU67,=BQ67,=SQRT(BQ67),=EXP(+$CC$54+$CB$60*BU67+$CC$60*BU67),=BW67/$BW$26,,,,,,,,65,70,473.2897,0.0003,1758132,0.9997,,,,,,,,,,,,,,,,,,,,,,,,,,
72.5,1857,4336,1122,0,=SUM(B68:E68),,29,,,,,,,,,29,=B68/$Q68,=C68/$Q68,=D68/$Q68,=E68/$Q68,=F68/$Q68,,,,,,,,,,,,,,70,=R68/R$74,=S68/S$74,=T68/T$74,=U68/U$74,=V68/V$74,,,,,,,,,,,,,=AK68+BB67,=AL68+BC67,=AM68+BD67,=AN68+BE67,=AO68+BF67,,,,,,,,,,,72.5,=AN68,=LN(BR68),=BU68*BU68,=BQ68,=SQRT(BQ68),=EXP(+$CC$54+$CB$60*BU68+$CC$60*BU68),=BW68/$BW$26,,,,,,,,70,75,221.3114,0.0001,1758354,0.9998,,,,,,,,,,,,,,,,,,,,,,,,,,
77.5,1262,2575,418,0,=SUM(B69:E69),,31,,,,,,,,,31,=B69/$Q69,=C69/$Q69,=D69/$Q69,=E69/$Q69,=F69/$Q69,,,,,,,,,,,,,,75,=R69/R$74,=S69/S$74,=T69/T$74,=U69/U$74,=V69/V$74,,,,,,,,,,,,,=AK69+BB68,=AL69+BC68,=AM69+BD68,=AN69+BE68,=AO69+BF68,,,,,,,,,,,77.5,=AN69,=LN(BR69),=BU69*BU69,=BQ69,=SQRT(BQ69),=EXP(+$CC$54+$CB$60*BU69+$CC$60*BU69),=BW69/$BW$26,,,,,,,,75,80,138.729,0.0001,1758492,0.9999,,,,,,,,,,,,,,,,,,,,,,,,,,
82.5,190,534,234,0,=SUM(B70:E70),,33,,,,,,,,,33,=B70/$Q70,=C70/$Q70,=D70/$Q70,=E70/$Q70,=F70/$Q70,,,,,,,,,,,,,,80,=R70/R$74,=S70/S$74,=T70/T$74,=U70/U$74,=V70/V$74,,,,,,,,,,,,,=AK70+BB69,=AL70+BC69,=AM70+BD69,=AN70+BE69,=AO70+BF69,,,,,,,,,,,82.5,=AN70,=LN(BR70),=BU70*BU70,=BQ70,=SQRT(BQ70),=EXP(+$CC$54+$CB$60*BU70+$CC$60*BU70),=BW70/$BW$26,,,,,,,,80,85,69.48059,0,1758562,0.9999,,,,,,,,,,,,,,,,,,,,,,,,,,
87.5,2204,2856,303,0,=SUM(B71:E71),,35,,,,,,,,,35,=B71/$Q71,=C71/$Q71,=D71/$Q71,=E71/$Q71,=F71/$Q71,,,,,,,,,,,,,,85,=R71/R$74,=S71/S$74,=T71/T$74,=U71/U$74,=V71/V$74,,,,,,,,,,,,,=AK71+BB70,=AL71+BC70,=AM71+BD70,=AN71+BE70,=AO71+BF70,,,,,,,,,,,87.5,=AN71,=LN(BR71),=BU71*BU71,=BQ71,=SQRT(BQ71),=EXP(+$CC$54+$CB$60*BU71+$CC$60*BU71),=BW71/$BW$26,,,,,,,,85,90,41.181,0,1758603,0.9999,,,,,,,,,,,,,,,,,,,,,,,,,,
90,720,314,469,0,=SUM(B72:E72),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,90,=R72/R$74,=S72/S$74,=T72/T$74,=U72/U$74,=V72/V$74,,,,,,,,,,,,,,,,,,,,,,,,,,,,92.5,=AN72,=LN(BR72),=BU72*BU72,=BQ72,=SQRT(BQ72),=EXP(+$CC$54+$CB$60*BU72+$CC$60*BU72),=BW72/$BW$26,,,,,,,,90,95,26.07014,0,1758629,0.9999,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,95,100,23.69958,0,1758653,0.9999,,,,,,,,,,,,,,,,,,,,,,,,,,
,=SUM(B54:B73),=SUM(C54:C73),=SUM(D54:D73),=SUM(E54:E73),=SUM(F54:F73),,,,,,,,,,,,=SUM(R54:R73),=SUM(S54:S73),=SUM(T54:T73),=SUM(U54:U73),,,,,,,,,,,,,,,,,,,,,=SUM(BR54:BR72),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
