,ADT,APT,AU1,AUDR2,AUDR3,AUPX,BCRAIL,BUS,WALK,WCRAIL,AU2+,ALLWCT,ALLTRN,ALLTRIPS,,FACTOR,ADT,APT,AU1,AUDR2,AUDR3,AUPX,BCRAIL,BUS,WALK,WCRAIL,AU2+,ALLWCT,ALLTRN,ALLTRIPS,NONAUTO,AUTO,,,,ADT,APT,AU1,AUDR2,AUDR3,AUPX,BCRAIL,BUS,WALK,WCRAIL,AU2+,ALLWCT,ALLTRN,ALLTRIPS,NONAUTO,AUTO,,ADT,APT,AU1,AUDR2,AUDR3,AUPX,BCRAIL,BUS,WALK,WCRAIL,AU2+,ALLWCT,ALLTRN,ALLTRIPS,,TIME,P,ln(p),TIME^2,TIME,TIME^0.5,PREDICTED,ADJ PRED,Degrees of Freedom,,,15,,,,5,10,57638.08,0.0707,122037.5,0.1497,,,0.10676637,,Constant,,,0.0039642923,,,,10,15,113154.9,0.1228,300897.4,0.3266,,10,15,8788.825,0.0545,20891.97,0.1296,=DF6/$DF$23,=DI6/SUM($DG$4:$DG$20)
32.5,3673,2972,107976,10478,4806,19408,4458,6036,2321,20117,=E13+F13+G13,=K13+I13+H13,=M13+B13+C13,=SUM(B13:L13),,13,=B13,=C13,=D13,=E13,=F13,=G13,=H13,=I13,=J13,=K13,=L13,=M13,=N13,=O13,=AD13+Z13,=AE13-AF13,,,=A13,=R13/R$27,=S13/S$27,=T13/T$27,=U13/U$27,=V13/V$27,=W13/W$27,=X13/X$27,=Y13/Y$27,=Z13/Z$27,=AA13/AA$27,=AB13/AB$27,=AC13/AC$27,=AD13/AD$27,=AE13/AE$27,=AF13/AF$27,=AG13/AG$27,,=AK13+BB12,=AL13+BC12,=AM13+BD12,=AN13+BE12,=AO13+BF12,=AP13+BG12,=AQ13+BH12,=AR13+BI12,=AS13+BJ12,=AT13+BK12,=AU13+BL12,=AV13+BM12,=AW13+BN12,=AX13+BO12,,32.5,=AX13,=LN(BR13),=BU13*BU13,=BQ13,=SQRT(BQ13),=EXP(+$CB$2+$CA$8*BU13+$CB$8*BV13),=(BW13/$BW$26),,,,,,,,40,45,45496.91,0.0558,687730,0.8438,,,0.070718607,,Std Err of Coef.,,0.11859078,,,,,45,50,32546.87,0.0353,839599.1,0.9113,,45,50,10557.04,0.0655,116733.7,0.7242,=DF13/$DF$23,=DI13/SUM($DG$4:$DG$20)
37.5,6791,3547,98384,10480,3769,20993,4522,8355,1099,18746,=E14+F14+G14,=K14+I14+H14,=M14+B14+C14,=SUM(B14:L14),,15,=B14,=C14,=D14,=E14,=F14,=G14,=H14,=I14,=J14,=K14,=L14,=M14,=N14,=O14,=AD14+Z14,=AE14-AF14,,,=A14,=R14/R$27,=S14/S$27,=T14/T$27,=U14/U$27,=V14/V$27,=W14/W$27,=X14/X$27,=Y14/Y$27,=Z14/Z$27,=AA14/AA$27,=AB14/AB$27,=AC14/AC$27,=AD14/AD$27,=AE14/AE$27,=AF14/AF$27,=AG14/AG$27,,=AK14+BB13,=AL14+BC13,=AM14+BD13,=AN14+BE13,=AO14+BF13,=AP14+BG13,=AQ14+BH13,=AR14+BI13,=AS14+BJ13,=AT14+BK13,=AU14+BL13,=AV14+BM13,=AW14+BN13,=AX14+BO13,,37.5,=AX14,=LN(BR14),=BU14*BU14,=BQ14,=SQRT(BQ14),=EXP(+$CB$2+$CA$8*BU14+$CB$8*BV14),=(BW14/$BW$26),,,,,,,,45,50,36801.87,0.0452,724531.9,0.8889,,,0.034541453,,,,=CR12/CR13,,,,,50,55,24806.54,0.0269,864405.7,0.9382,,50,55,7346.276,0.0456,124080,0.7698,=DF14/$DF$23,=DI14/SUM($DG$4:$DG$20)
42.5,4987,2290,122961,14820,6292,21286,5628,5275,2863,13875,=E15+F15+G15,=K15+I15+H15,=M15+B15+C15,=SUM(B15:L15),,17,=B15,=C15,=D15,=E15,=F15,=G15,=H15,=I15,=J15,=K15,=L15,=M15,=N15,=O15,=AD15+Z15,=AE15-AF15,,,=A15,=R15/R$27,=S15/S$27,=T15/T$27,=U15/U$27,=V15/V$27,=W15/W$27,=X15/X$27,=Y15/Y$27,=Z15/Z$27,=AA15/AA$27,=AB15/AB$27,=AC15/AC$27,=AD15/AD$27,=AE15/AE$27,=AF15/AF$27,=AG15/AG$27,,=AK15+BB14,=AL15+BC14,=AM15+BD14,=AN15+BE14,=AO15+BF14,=AP15+BG14,=AQ15+BH14,=AR15+BI14,=AS15+BJ14,=AT15+BK14,=AU15+BL14,=AV15+BM14,=AW15+BN14,=AX15+BO14,,42.5,=AX15,=LN(BR15),=BU15*BU15,=BQ15,=SQRT(BQ15),=EXP(+$CB$2+$CA$8*BU15+$CB$8*BV15),=(BW15/$BW$26),,,,,,,,50,55,25139.67,0.0308,749671.6,0.9198,,,0.022124936,,,,,,,,,55,60,18619.13,0.0202,883024.8,0.9584,,55,60,6415.495,0.0398,130495.5,0.8096,=DF15/$DF$23,=DI15/SUM($DG$4:$DG$20)
47.5,3951,671,58245,4629,2901,12071,2867,3026,756,9813,=E16+F16+G16,=K16+I16+H16,=M16+B16+C16,=SUM(B16:L16),,19,=B16,=C16,=D16,=E16,=F16,=G16,=H16,=I16,=J16,=K16,=L16,=M16,=N16,=O16,=AD16+Z16,=AE16-AF16,,,=A16,=R16/R$27,=S16/S$27,=T16/T$27,=U16/U$27,=V16/V$27,=W16/W$27,=X16/X$27,=Y16/Y$27,=Z16/Z$27,=AA16/AA$27,=AB16/AB$27,=AC16/AC$27,=AD16/AD$27,=AE16/AE$27,=AF16/AF$27,=AG16/AG$27,,=AK16+BB15,=AL16+BC15,=AM16+BD15,=AN16+BE15,=AO16+BF15,=AP16+BG15,=AQ16+BH15,=AR16+BI15,=AS16+BJ15,=AT16+BK15,=AU16+BL15,=AV16+BM15,=AW16+BN15,=AX16+BO15,,47.5,=AX16,=LN(BR16),=BU16*BU16,=BQ16,=SQRT(BQ16),=EXP(+$CB$2+$CA$8*BU16+$CB$8*BV16),=(BW16/$BW$26),,,,,,,,55,60,19130.74,0.0235,768802.3,0.9432,,,0.042937931,,,,,,,,,60,65,13412.11,0.0146,896437,0.9729,,60,65,4852.651,0.0301,135348.2,0.8397,=DF16/$DF$23,=DI16/SUM($DG$4:$DG$20)
52.5,1167,780,28114,3749,2401,4401,4567,8687,0,11506,=E17+F17+G17,=K17+I17+H17,=M17+B17+C17,=SUM(B17:L17),,21,=B17,=C17,=D17,=E17,=F17,=G17,=H17,=I17,=J17,=K17,=L17,=M17,=N17,=O17,=AD17+Z17,=AE17-AF17,,,=A17,=R17/R$27,=S17/S$27,=T17/T$27,=U17/U$27,=V17/V$27,=W17/W$27,=X17/X$27,=Y17/Y$27,=Z17/Z$27,=AA17/AA$27,=AB17/AB$27,=AC17/AC$27,=AD17/AD$27,=AE17/AE$27,=AF17/AF$27,=AG17/AG$27,,=AK17+BB16,=AL17+BC16,=AM17+BD16,=AN17+BE16,=AO17+BF16,=AP17+BG16,=AQ17+BH16,=AR17+BI16,=AS17+BJ16,=AT17+BK16,=AU17+BL16,=AV17+BM16,=AW17+BN16,=AX17+BO16,,52.5,=AX17,=LN(BR17),=BU17*BU17,=BQ17,=SQRT(BQ17),=EXP(+$CB$2+$CA$8*BU17+$CB$8*BV17),=(BW17/$BW$26),,,,,,,,60,65,14698.7,0.018,783501,0.9613,,,0.012722792,,,,,,,,,65,70,9979.609,0.0108,906416.6,0.9838,,65,70,4354.211,0.027,139702.4,0.8667,=DF17/$DF$23,=DI17/SUM($DG$4:$DG$20)
57.5,1903,1282,74642,7128,3702,16245,1430,2311,974,10652,=E18+F18+G18,=K18+I18+H18,=M18+B18+C18,=SUM(B18:L18),,23,=B18,=C18,=D18,=E18,=F18,=G18,=H18,=I18,=J18,=K18,=L18,=M18,=N18,=O18,=AD18+Z18,=AE18-AF18,,,=A18,=R18/R$27,=S18/S$27,=T18/T$27,=U18/U$27,=V18/V$27,=W18/W$27,=X18/X$27,=Y18/Y$27,=Z18/Z$27,=AA18/AA$27,=AB18/AB$27,=AC18/AC$27,=AD18/AD$27,=AE18/AE$27,=AF18/AF$27,=AG18/AG$27,,=AK18+BB17,=AL18+BC17,=AM18+BD17,=AN18+BE17,=AO18+BF17,=AP18+BG17,=AQ18+BH17,=AR18+BI17,=AS18+BJ17,=AT18+BK17,=AU18+BL17,=AV18+BM17,=AW18+BN17,=AX18+BO17,,57.5,=AX18,=LN(BR18),=BU18*BU18,=BQ18,=SQRT(BQ18),=EXP(+$CB$2+$CA$8*BU18+$CB$8*BV18),=(BW18/$BW$26),,,,,,,,65,70,10950.71,0.0134,794451.7,0.9747,,,0.011145958,,,Regression Output:,,,,,,70,75,6371.347,0.0069,912788,0.9907,,70,75,3145.559,0.0195,142847.9,0.8863,=DF18/$DF$23,=DI18/SUM($DG$4:$DG$20)
62.5,1576,1056,18209,2898,1738,2232,691,2400,487,5504,=E19+F19+G19,=K19+I19+H19,=M19+B19+C19,=SUM(B19:L19),,25,=B19,=C19,=D19,=E19,=F19,=G19,=H19,=I19,=J19,=K19,=L19,=M19,=N19,=O19,=AD19+Z19,=AE19-AF19,,,=A19,=R19/R$27,=S19/S$27,=T19/T$27,=U19/U$27,=V19/V$27,=W19/W$27,=X19/X$27,=Y19/Y$27,=Z19/Z$27,=AA19/AA$27,=AB19/AB$27,=AC19/AC$27,=AD19/AD$27,=AE19/AE$27,=AF19/AF$27,=AG19/AG$27,,=AK19+BB18,=AL19+BC18,=AM19+BD18,=AN19+BE18,=AO19+BF18,=AP19+BG18,=AQ19+BH18,=AR19+BI18,=AS19+BJ18,=AT19+BK18,=AU19+BL18,=AV19+BM18,=AW19+BN18,=AX19+BO18,,62.5,=AX19,=LN(BR19),=BU19*BU19,=BQ19,=SQRT(BQ19),=EXP(+$CB$2+$CA$8*BU19+$CB$8*BV19),=(BW19/$BW$26),,,,,,,,70,75,7829.482,0.0096,802281.2,0.9843,,,0.013247044,,Constant,,,0.004485429,,,,75,80,4476.533,0.0049,917264.5,0.9955,,75,80,2667.329,0.0165,145515.3,0.9028,=DF19/$DF$23,=DI19/SUM($DG$4:$DG$20)
67.5,818,649,16810,1609,1697,2610,1733,2098,133,4175,=E20+F20+G20,=K20+I20+H20,=M20+B20+C20,=SUM(B20:L20),,27,=B20,=C20,=D20,=E20,=F20,=G20,=H20,=I20,=J20,=K20,=L20,=M20,=N20,=O20,=AD20+Z20,=AE20-AF20,,,=A20,=R20/R$27,=S20/S$27,=T20/T$27,=U20/U$27,=V20/V$27,=W20/W$27,=X20/X$27,=Y20/Y$27,=Z20/Z$27,=AA20/AA$27,=AB20/AB$27,=AC20/AC$27,=AD20/AD$27,=AE20/AE$27,=AF20/AF$27,=AG20/AG$27,,=AK20+BB19,=AL20+BC19,=AM20+BD19,=AN20+BE19,=AO20+BF19,=AP20+BG19,=AQ20+BH19,=AR20+BI19,=AS20+BJ19,=AT20+BK19,=AU20+BL19,=AV20+BM19,=AW20+BN19,=AX20+BO19,,67.5,=AX20,=LN(BR20),=BU20*BU20,=BQ20,=SQRT(BQ20),=EXP(+$CB$2+$CA$8*BU20+$CB$8*BV20),=(BW20/$BW$26),,,,,,,,75,80,4729.733,0.0058,807011,0.9901,,,0.004300379,,Std Err of Y Est,,,0.021239735,,,,80,85,2878.755,0.0031,920143.3,0.9987,,80,85,2271.831,0.0141,147787.1,0.9169,=DF20/$DF$23,=DI20/SUM($DG$4:$DG$20)
72.5,267,536,24320,1596,2242,2805,0,1624,405,5020,=E21+F21+G21,=K21+I21+H21,=M21+B21+C21,=SUM(B21:L21),,29,=B21,=C21,=D21,=E21,=F21,=G21,=H21,=I21,=J21,=K21,=L21,=M21,=N21,=O21,=AD21+Z21,=AE21-AF21,,,=A21,=R21/R$27,=S21/S$27,=T21/T$27,=U21/U$27,=V21/V$27,=W21/W$27,=X21/X$27,=Y21/Y$27,=Z21/Z$27,=AA21/AA$27,=AB21/AB$27,=AC21/AC$27,=AD21/AD$27,=AE21/AE$27,=AF21/AF$27,=AG21/AG$27,,=AK21+BB20,=AL21+BC20,=AM21+BD20,=AN21+BE20,=AO21+BF20,=AP21+BG20,=AQ21+BH20,=AR21+BI20,=AS21+BJ20,=AT21+BK20,=AU21+BL20,=AV21+BM20,=AW21+BN20,=AX21+BO20,,72.5,=AX21,=LN(BR21),=BU21*BU21,=BQ21,=SQRT(BQ21),=EXP(+$CB$2+$CA$8*BU21+$CB$8*BV21),=(BW21/$BW$26),,,,,,,,80,85,2979.044,0.0037,809990,0.9938,,,0.0038912354,,R Squared,,,0.81894796,,,,85,90,1049.249,0.0011,921192.5,0.9998,,85,90,1657.146,0.0103,149444.2,0.9272,=DF21/$DF$23,
77.5,674,163,6635,376,190,796,1945,474,,2142,=E22+F22+G22,=K22+I22+H22,=M22+B22+C22,=SUM(B22:L22),,31,=B22,=C22,=D22,=E22,=F22,=G22,=H22,=I22,=J22,=K22,=L22,=M22,=N22,=O22,=AD22+Z22,=AE22-AF22,,,=A22,=R22/R$27,=S22/S$27,=T22/T$27,=U22/U$27,=V22/V$27,=W22/W$27,=X22/X$27,=Y22/Y$27,=Z22/Z$27,=AA22/AA$27,=AB22/AB$27,=AC22/AC$27,=AD22/AD$27,=AE22/AE$27,=AF22/AF$27,=AG22/AG$27,,=AK22+BB21,=AL22+BC21,=AM22+BD21,=AN22+BE21,=AO22+BF21,=AP22+BG21,=AQ22+BH21,=AR22+BI21,=AS22+BJ21,=AT22+BK21,=AU22+BL21,=AV22+BM21,=AW22+BN21,=AX22+BO21,,77.5,=AX22,=LN(BR22),=BU22*BU22,=BQ22,=SQRT(BQ22),=EXP(+$CB$2+$CA$8*BU22+$CB$8*BV22),=(BW22/$BW$26),,,,,,,,85,90,2879.243,0.0035,812869.3,0.9973,,,0.0088691492,,No. of Observations,,,18,,,,90,95,175.8255,0.0002,921368.3,1,,90,95,1378.958,0.0086,150823.2,0.9357,=DF22/$DF$23,
